lat,lon,limit,deck,direct
25.122475,121.72526,50,,南向北
25.116156,121.72644,50,,東向西
25.13433,121.72914,50,,西向東
25.12841,121.733025,50,,南向北
25.13194,121.7445,50,,北向南
25.12801,121.75611,50,,西向東
25.128124,121.76871,50,,東向西
25.12806,121.77834,40,ramp,南向北
25.12413,121.77956,60,tunnel,北往南
25.124207,121.77978,60,tunnel,南往北
25.13,121.78361,50,,西向東
25.12422,121.79071,50,,東西雙向
24.762646,120.96173,40,,南向北
24.80587,120.973694,50,elevated,西向東
24.803886,120.97689,50,elevated,東向西
24.814762,120.98113,50,,北向南
24.788258,120.98239,50,,東向西
24.810917,120.982635,50,,東向西
24.809292,120.98313,50,,南往北
24.778402,120.98497,40,,雙向
24.814775,120.98553,50,,東向西
24.822033,120.98689,40,,西向東
24.812634,120.98927,50,,西向東
24.800165,120.98983,50,,東向西
24.817444,120.99061,50,,北向南
24.782099,120.99193,50,,往南
24.818113,120.99483,50,,雙向
